economy_label,vessel_type,avg_vessel_age,median_time_in_port,avg_size_GT,avg_cargo_capacity_DWT,avg_container_capacity_TEU,max_size_GT,max_cargo_capacity_DWT,max_container_capacity_TEU,period
Indonesia,All_Vessel_Types,21,1.28,7796,17116.0,1167.0,136740,230000.0,8204.0,2022-S1
Indonesia,Liquid bulk carriers,17,1.3,8871,13880.0,,85436,162090.0,,2022-S1
Indonesia,Liquefied petroleum gas carriers,21,1.09,8411,9126.0,,53573,58811.0,,2022-S1
Indonesia,Liquefied natural gas carriers,17,1.42,96072,72353.0,,136740,97730.0,,2022-S1
Indonesia,Dry bulk carriers,19,2.95,26212,46246.0,,113628,230000.0,,2022-S1
Indonesia,Dry breakbulk carriers,21,1.23,5138,6998.0,,57934,138743.0,,2022-S1
Indonesia,Roll-on/ roll-off ships,32,,10060,4551.0,,75206,28092.0,,2022-S1
Indonesia,Container ships,16,1.04,13145,,1167.0,91649,,8204.0,2022-S1
Indonesia,Passenger ships,22,,5133,,,20563,,,2022-S1
Italy,All_Vessel_Types,27,1.38,10046,19902.0,3522.0,235600,313049.0,23964.0,2022-S1
Italy,Liquid bulk carriers,19,1.28,17376,29523.0,,157477,299999.0,,2022-S1
Italy,Liquefied petroleum gas carriers,15,1.52,8347,9448.0,,48051,55047.0,,2022-S1
Italy,Liquefied natural gas carriers,15,2.4,42529,30177.0,,52855,39520.0,,2022-S1
Italy,Dry bulk carriers,15,4.08,26259,45539.0,,151915,313049.0,,2022-S1
Italy,Dry breakbulk carriers,20,1.89,5930,8272.0,,66870,72914.0,,2022-S1
Italy,Roll-on/ roll-off ships,14,,35069,13703.0,,76420,45200.0,,2022-S1
